Freq.	V(n003)	V(n002)	V(n001)	I(C1)	I(L1)	I(R2)	I(R1)	I(V1)
1.68302768145294e+05	1.22130792819673e-05,-2.47516521022226e-03	9.99998969659939e-01,2.08813937733722e-04	1.00000000000000e+00,-8.67361737988404e-19	3.03920699335856e-09,1.49962013892659e-11	1.11028023864500e-02,-2.25015019109615e+00	1.11027993472430e-02,-2.25015019111115e+00	-1.11028023855702e-02,2.25015019109615e+00	-1.11028023857216e-02,2.25015019109615e+00
1.68690746095038e+05	1.21569666243410e-05,-2.46947276444717e-03	9.99998974393806e-01,2.08333702308336e-04	1.00000000000000e+00,-8.67361737988404e-19	3.03920733332655e-09,1.49617127378907e-11	1.10517908795173e-02,-2.24497524039156e+00	1.10517878403100e-02,-2.24497524040652e+00	-1.10517908797271e-02,2.24497524039156e+00	-1.10517908797192e-02,2.24497524039156e+00
1.69079618426326e+05	1.21011117684906e-05,-2.46379340903252e-03	9.99998979105925e-01,2.07854571233357e-04	1.00000000000000e+00,-8.67361737988404e-19	3.03920767173261e-09,1.49273033966481e-11	1.10010137378355e-02,-2.23981219001464e+00	1.10010106986278e-02,-2.23981219002956e+00	-1.10010137374182e-02,2.23981219001464e+00	-1.10010137377685e-02,2.23981219001464e+00
1.69469387200919e+05	1.20455135300387e-05,-2.45812711388440e-03	9.99998983796395e-01,2.07376541969957e-04	1.00000000000000e+00,8.67361737988404e-19	3.03920800858391e-09,1.48929731832091e-11	1.09504698846978e-02,-2.23466101260729e+00	1.09504668454898e-02,-2.23466101262218e+00	-1.09504698855079e-02,2.23466101260729e+00	-1.09504698848468e-02,2.23466101260729e+00
1.69860054485333e+05	1.19901707300489e-05,-2.45247384897803e-03	9.99998988465315e-01,2.06899611985131e-04	1.00000000000000e+00,0.00000000000000e+00	3.03920834388759e-09,1.48587219156634e-11	1.09001582483437e-02,-2.22952168087426e+00	1.09001552091354e-02,-2.22952168088911e+00	-1.09001582472711e-02,2.22952168087426e+00	-1.09001582477504e-02,2.22952168087426e+00
1.70251622350847e+05	1.19350821950001e-05,-2.44683358435759e-03	9.99998993112784e-01,2.06423778751701e-04	1.00000000000000e+00,0.00000000000000e+00	3.03920867765076e-09,1.48245494125187e-11	1.08500777619361e-02,-2.22439416758298e+00	1.08500747227274e-02,-2.22439416759781e+00	-1.08500777627321e-02,2.22439416758298e+00	-1.08500777623703e-02,2.22439416758298e+00
1.70644092873514e+05	1.18802467567623e-05,-2.44120629013608e-03	9.99998997738901e-01,2.05949039748290e-04	1.00000000000000e+00,0.00000000000000e+00	3.03920900988050e-09,1.47904554926994e-11	1.08002273635384e-02,-2.21927844556347e+00	1.08002243243294e-02,-2.21927844557826e+00	-1.08002273623440e-02,2.21927844556347e+00	-1.08002273627790e-02,2.21927844556347e+00
1.71037468134175e+05	1.18256632525715e-05,-2.43559193649515e-03	9.99999002343764e-01,2.05475392459313e-04	1.00000000000000e+00,8.67361737988404e-19	3.03920934058386e-09,1.47564399755460e-11	1.07506059960925e-02,-2.21417448770811e+00	1.07506029568831e-02,-2.21417448772286e+00	-1.07506059945055e-02,2.21417448770811e+00	-1.07506059939624e-02,2.21417448770811e+00
1.71431750218465e+05	1.17713305250048e-05,-2.42999049368492e-03	9.99999006927470e-01,2.05002834374962e-04	1.00000000000000e+00,0.00000000000000e+00	3.03920966976784e-09,1.47225026808137e-11	1.07012126073959e-02,-2.20908226697157e+00	1.07012095681862e-02,-2.20908226698629e+00	-1.07012126088117e-02,2.20908226697157e+00	-1.07012126081827e-02,2.20908226697157e+00
1.71826941216830e+05	1.17172474219568e-05,-2.42440193202387e-03	9.99999011490117e-01,2.04531362991196e-04	1.00000000000000e+00,0.00000000000000e+00	3.03920999743944e-09,1.46886434286721e-11	1.06520461500798e-02,-2.20400175637065e+00	1.06520431108698e-02,-2.20400175638534e+00	-1.06520461500722e-02,2.20400175637065e+00	-1.06520461504260e-02,2.20400175637065e+00
1.72223043224532e+05	1.16634127966138e-05,-2.41882622189866e-03	9.99999016031802e-01,2.04060975809728e-04	1.00000000000000e+00,8.67361737988404e-19	3.03921032360558e-09,1.46548620397036e-11	1.06031055815865e-02,-2.19893292898412e+00	1.06031025423762e-02,-2.19893292899878e+00	-1.06031055810418e-02,2.19893292898412e+00	-1.06031055802305e-02,2.19893292898412e+00
1.72620058341665e+05	1.16098255074309e-05,-2.41326333376394e-03	9.99999020552621e-01,2.03591670338001e-04	1.00000000000000e+00,0.00000000000000e+00	3.03921064827321e-09,1.46211583349028e-11	1.05543898641478e-02,-2.19387575795260e+00	1.05543868249372e-02,-2.19387575796722e+00	-1.05543898632794e-02,2.19387575795260e+00	-1.05543898625911e-02,2.19387575795260e+00
1.73017988673163e+05	1.15564844181068e-05,-2.40771323814227e-03	9.99999025052669e-01,2.03123444089194e-04	1.00000000000000e+00,0.00000000000000e+00	3.03921097144918e-09,1.45875321356755e-11	1.05058979647626e-02,-2.18883021647839e+00	1.05058949255516e-02,-2.18883021649297e+00	-1.05058979655216e-02,2.18883021647839e+00	-1.05058979661408e-02,2.18883021647839e+00
